indicator,year,raw_value,value,municipality_code,municipality_name,district_code,district_name,section_code,section_name
Índice de Gini,2016,"28,7",28.7,28079,Madrid,2807912,Madrid distrito 12,2807912015,Madrid sección 12015
Distribución de la renta P80/P20,2022,"2,5",2.5,28079,Madrid,2807912,Madrid distrito 12,2807912015,Madrid sección 12015
Distribución de la renta P80/P20,2021,"2,5",2.5,28079,Madrid,2807912,Madrid distrito 12,2807912015,Madrid sección 12015
Distribución de la renta P80/P20,2020,"2,5",2.5,28079,Madrid,2807912,Madrid distrito 12,2807912015,Madrid sección 12015
Distribución de la renta P80/P20,2019,"2,6",2.6,28079,Madrid,2807912,Madrid distrito 12,2807912015,Madrid sección 12015
Distribución de la renta P80/P20,2018,"2,4",2.4,28079,Madrid,2807912,Madrid distrito 12,2807912015,Madrid sección 12015
Distribución de la renta P80/P20,2017,"2,3",2.3,28079,Madrid,2807912,Madrid distrito 12,2807912015,Madrid sección 12015
Distribución de la renta P80/P20,2016,"2,4",2.4,28079,Madrid,2807912,Madrid distrito 12,2807912015,Madrid sección 12015
Índice de Gini,2022,"29,2",29.2,28079,Madrid,2807912,Madrid distrito 12,2807912016,Madrid sección 12016
Índice de Gini,2021,"29,8",29.8,28079,Madrid,2807912,Madrid distrito 12,2807912016,Madrid sección 12016
Índice de Gini,2020,"30,2",30.2,28079,Madrid,2807912,Madrid distrito 12,2807912016,Madrid sección 12016
Índice de Gini,2019,"29,9",29.9,28079,Madrid,2807912,Madrid distrito 12,2807912016,Madrid sección 12016
Índice de Gini,2018,30,30.0,28079,Madrid,2807912,Madrid distrito 12,2807912016,Madrid sección 12016
Índice de Gini,2017,"29,6",29.6,28079,Madrid,2807912,Madrid distrito 12,2807912016,Madrid sección 12016
Índice de Gini,2016,31,31.0,28079,Madrid,2807912,Madrid distrito 12,2807912016,Madrid sección 12016
Distribución de la renta P80/P20,2022,"2,7",2.7,28079,Madrid,2807912,Madrid distrito 12,2807912016,Madrid sección 12016
Distribución de la renta P80/P20,2021,"2,6",2.6,28079,Madrid,2807912,Madrid distrito 12,2807912016,Madrid sección 12016
Distribución de la renta P80/P20,2020,"2,6",2.6,28079,Madrid,2807912,Madrid distrito 12,2807912016,Madrid sección 12016
Distribución de la renta P80/P20,2019,"2,5",2.5,28079,Madrid,2807912,Madrid distrito 12,2807912016,Madrid sección 12016
Distribución de la renta P80/P20,2018,"2,7",2.7,28079,Madrid,2807912,Madrid distrito 12,2807912016,Madrid sección 12016
Distribución de la renta P80/P20,2017,"2,8",2.8,28079,Madrid,2807912,Madrid distrito 12,2807912016,Madrid sección 12016
Distribución de la renta P80/P20,2016,"2,7",2.7,28079,Madrid,2807912,Madrid distrito 12,2807912016,Madrid sección 12016
Índice de Gini,2022,"28,8",28.8,28079,Madrid,2807912,Madrid distrito 12,2807912018,Madrid sección 12018
Índice de Gini,2021,"31,1",31.1,28079,Madrid,2807912,Madrid distrito 12,2807912018,Madrid sección 12018
Índice de Gini,2020,"30,3",30.3,28079,Madrid,2807912,Madrid distrito 12,2807912018,Madrid sección 12018
Índice de Gini,2019,"31,6",31.6,28079,Madrid,2807912,Madrid distrito 12,2807912018,Madrid sección 12018
Índice de Gini,2018,"32,1",32.1,28079,Madrid,2807912,Madrid distrito 12,2807912018,Madrid sección 12018
Índice de Gini,2017,"32,5",32.5,28079,Madrid,2807912,Madrid distrito 12,2807912018,Madrid sección 12018
Índice de Gini,2016,"32,6",32.6,28079,Madrid,2807912,Madrid distrito 12,2807912018,Madrid sección 12018
Distribución de la renta P80/P20,2022,"2,9",2.9,28079,Madrid,2807912,Madrid distrito 12,2807912018,Madrid sección 12018
Distribución de la renta P80/P20,2021,3,3.0,28079,Madrid,2807912,Madrid distrito 12,2807912018,Madrid sección 12018
Distribución de la renta P80/P20,2020,3,3.0,28079,Madrid,2807912,Madrid distrito 12,2807912018,Madrid sección 12018
