indicator,year,raw_value,value,municipality_code,municipality_name,district_code,district_name,section_code,section_name
Fuente de ingreso: pensiones,2019,4.340,4340.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: pensiones,2018,4.254,4254.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: pensiones,2017,4.312,4312.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: pensiones,2016,4.513,4513.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: prestaciones por desempleo,2022,235,235.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: prestaciones por desempleo,2021,438,438.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: prestaciones por desempleo,2020,657,657.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: prestaciones por desempleo,2019,215,215.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: prestaciones por desempleo,2018,272,272.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: prestaciones por desempleo,2017,257,257.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: prestaciones por desempleo,2016,199,199.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: otras prestaciones,2022,760,760.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: otras prestaciones,2021,618,618.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: otras prestaciones,2020,624,624.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: otras prestaciones,2019,557,557.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: otras prestaciones,2018,527,527.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: otras prestaciones,2017,441,441.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: otras prestaciones,2016,451,451.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: otros ingresos,2022,1.071,1071.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: otros ingresos,2021,1.010,1010.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: otros ingresos,2020,970,970.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: otros ingresos,2019,963,963.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: otros ingresos,2018,934,934.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: otros ingresos,2017,895,895.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: otros ingresos,2016,807,807.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: salario,2022,8.943,8943.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
