year,month,magnitude,value,normalized,year-month
2002,2,Etilbenceno,1.319354839,0.3851224105,2002-2
2002,2,Hidrocarburos no metánicos (hexano),0.1303225806,0.9181818182,2002-2
2002,2,Hidrocarburos totales (hexano),1.229677419,0.8566292135,2002-2
2002,2,Metano,1.099677419,0.8486432661,2002-2
2002,2,Monóxido de Carbono,0.8211981567,0.743545611,2002-2
2002,2,Monóxido de Nitrógeno,66.72727273,0.8477355778,2002-2
2002,2,Óxidos de Nitrógeno,160.2756598,0.9175804958,2002-2
2002,2,Ozono,19.49462366,0.9939692982,2002-2
2002,2,Partículas < 10 µm,29.98709677,1.034613244,2002-2
2002,2,Tolueno,5.767741935,0.5681601525,2002-2
2002,3,Benceno,0.6870967742,0.2360110803,2002-3
2002,3,Dióxido de Azufre,11.15725806,0.4954440554,2002-3
2002,3,Dióxido de Nitrógeno,57.79472141,1.069846555,2002-3
2002,3,Etilbenceno,0.6,0.1751412429,2002-3
2002,3,Hidrocarburos no metánicos (hexano),0.1225806452,0.8636363636,2002-3
2002,3,Hidrocarburos totales (hexano),1.370645161,0.9548314607,2002-3
2002,3,Metano,1.243225806,0.9594224546,2002-3
2002,3,Monóxido de Carbono,0.7175115207,0.6496635894,2002-3
2002,3,Monóxido de Nitrógeno,41.88856305,0.5321725848,2002-3
2002,3,Óxidos de Nitrógeno,121.9824047,0.6983510503,2002-3
2002,3,Ozono,36.96774194,1.884868421,2002-3
2002,3,Partículas < 10 µm,29.72903226,1.025709516,2002-3
2002,3,Tolueno,2.590322581,0.2551636479,2002-3
2002,4,Benceno,0.8741935484,0.3002770083,2002-4
2002,4,Dióxido de Azufre,8.903225806,0.3953525386,2002-4
2002,4,Dióxido de Nitrógeno,58.72434018,1.087054864,2002-4
2002,4,Etilbenceno,0.9516129032,0.2777777778,2002-4
2002,4,Hidrocarburos no metánicos (hexano),0.1161290323,0.8181818182,2002-4
2002,4,Hidrocarburos totales (hexano),1.320645161,0.92,2002-4
2002,4,Metano,1.205483871,0.930296241,2002-4
2002,4,Monóxido de Carbono,0.6023041475,0.5453502321,2002-4
2002,4,Monóxido de Nitrógeno,30.63049853,0.3891446827,2002-4
2002,4,Óxidos de Nitrógeno,105.7360704,0.6053405488,2002-4
2002,4,Ozono,50.29032258,2.564144737,2002-4
2002,4,Partículas < 10 µm,28.8516129,0.9954368392,2002-4
2002,4,Tolueno,4.016129032,0.3956148713,2002-4
2002,5,Benceno,0.5967741935,0.2049861496,2002-5
2002,5,Dióxido de Azufre,6.741935484,0.2993792774,2002-5
2002,5,Dióxido de Nitrógeno,44.19354839,0.8180732484,2002-5
2002,5,Etilbenceno,0.9064516129,0.2645951036,2002-5
2002,5,Hidrocarburos no metánicos (hexano),0.1219354839,0.8590909091,2002-5
2002,5,Hidrocarburos totales (hexano),1.315806452,0.9166292135,2002-5
2002,5,Metano,1.195483871,0.9225790391,2002-5
2002,5,Monóxido de Carbono,0.4658986175,0.421843217,2002-5
2002,5,Monóxido de Nitrógeno,20.23460411,0.2570702069,2002-5
2002,5,Óxidos de Nitrógeno,75.27565982,0.430954253,2002-5
2002,5,Ozono,55.00537634,2.804550439,2002-5
2002,5,Partículas < 10 µm,24.2,0.8349471341,2002-5
2002,5,Tolueno,3.051612903,0.3006037496,2002-5
2002,6,Benceno,0.7838709677,0.2692520776,2002-6
2002,6,Dióxido de Azufre,6.491935484,0.2882778927,2002-6
2002,6,Dióxido de Nitrógeno,46.51026393,0.8609583092,2002-6
2002,6,Etilbenceno,0.8741935484,0.2551789077,2002-6
2002,6,Hidrocarburos no metánicos (hexano),0.2183870968,1.538636364,2002-6
2002,6,Hidrocarburos totales (hexano),1.282903226,0.8937078652,2002-6
2002,6,Metano,1.067741935,0.8239980085,2002-6
2002,6,Monóxido de Carbono,0.4294930876,0.3888801961,2002-6
2002,6,Monóxido de Nitrógeno,16.47214076,0.209270051,2002-6
2002,6,Óxidos de Nitrógeno,71.79178886,0.4110090408,2002-6
2002,6,Ozono,54.64516129,2.786184211,2002-6
2002,6,Partículas < 10 µm,41.78064516,1.441513634,2002-6
2002,6,Tolueno,3.422580645,0.3371464887,2002-6
2002,7,Benceno,0.6516129032,0.2238227147,2002-7
2002,7,Dióxido de Azufre,6.487903226,0.2880988381,2002-7
2002,7,Dióxido de Nitrógeno,45.98826979,0.8512955993,2002-7
2002,7,Etilbenceno,0.8741935484,0.2551789077,2002-7
2002,7,Hidrocarburos no metánicos (hexano),0.2032258065,1.431818182,2002-7
2002,7,Hidrocarburos totales (hexano),1.262580645,0.8795505618,2002-7
2002,7,Metano,1.062258065,0.8197659945,2002-7
2002,7,Monóxido de Carbono,0.4410138249,0.3993115318,2002-7
